PLAYER_ID,PLAYER_NAME,ACTIVE_STATUS
1629669,Jaylen Nowell,0
1641806,Markquis Nowell,1
1628373,Frank Ntilikina,1
203994,Jusuf Nurkic,1
1629670,Jordan Nwora,1
1626220,Royce O'Neale,1
1629643,Chuma Okeke,1
1629006,Josh Okogie,1
1630168,Onyeka Okongwu,1
1630171,Isaac Okoro,1
203506,Victor Oladipo,1
203482,Kelly Olynyk,1
1630647,Eugene Omoruyi,1
1626224,Cedi Osman,1
1626162,Kelly Oubre Jr.,1
101108,Chris Paul,1
1626166,Cameron Payne,1
1627780,Gary Payton II,1
1641809,Drew Peterson,1
1630196,Filip Petrusev,0
1641763,Julian Phillips,1
1629618,Jalen Pickett,1
1630590,Scotty Pippen Jr.,1
203486,Mason Plumlee,1
1641764,Brandin Podziemski,1
1627751,Jakob Poeltl,1
1630197,Aleksej Pokusevski,1
1629673,Jordan Poole,1
1629007,Jontay Porter,1
1641854,Craig Porter Jr.,1
1629008,Michael Porter Jr.,1
203490,Otto Porter Jr.,1
1626171,Bobby Portis,1
204001,Kristaps Porzingis,1
1630695,Micah Potter,1
203939,Dwight Powell,1
1626181,Norman Powell,1
1630554,Jason Preston,1
1630563,Joshua Primo,1
1627752,Taurean Prince,1
1630202,Payton Pritchard,1
1641765,Olivier-Maxence Prosper,1
1630243,Trevelin Queen,1
1629674,Neemias Queta,1
1630193,Immanuel Quickley,1
1631311,Lester Quinones,1
203944,Julius Randle,1
1641871,Duop Reath,1
1630559,Austin Reaves,1
1629629,Cam Reddish,1
1630194,Paul Reed,1
1629675,Naz Reid,1
1631197,Jared Rhoden,1
1630208,Nick Richards,1
1626196,Josh Richardson,1
1629130,Duncan Robinson,1
1629010,Jerome Robinson,1
1629011,Mitchell Robinson,1
1631115,Orlando Robinson,1
1630526,Jeremiah Robinson-Earl,1
1631223,David Roddy,1
1631157,Ryan Rollins,0
201565,Derrick Rose,1
1626179,Terry Rozier,1
1641712,Rayan Rupert,1
1626156,D'Angelo Russell,1
1630346,Matt Ryan,1
1627734,Domantas Sabonis,1
1629677,Luka Samanic,1
1631257,Jermaine Samuels Jr.,1
1641766,Adama Sanogo,1
1630611,Gui Santos,1
203967,Dario Saric,1
1630846,Olivier Sarr,1
1631204,Marcus Sasser,1
1629678,Admiral Schofield,1
203471,Dennis Schroder,1
1631220,Dereon Seabron,1
1630578,Alperen Sengun,1
1641729,Brice Sensabaugh,1
1629012,Collin Sexton,1
1629013,Landry Shamet,1
1630549,Day'Ron Sharpe,1
1631101,Shaedon Sharpe,1
1641767,Ben Sheppard,1
1627783,Pascal Siakam,1
