INDEX,PLAYER_ID,PLAYER_NAME,R_PPG,R_APG,R_RPG,R_SPG,R_BPG,R_FG,R_eFG,R_TS,P_PPG,P_APG,P_RPG,P_SPG,P_BPG,P_FG,P_eFG,P_TS
4226,1631,Billy Thompson,8.6,1.7,5.4,0.5,0.9,0.505,0.505,0.535,4.7,0.7,2.0,1.3,0,0.545,0.545,0.589
4227,240,Brooks Thompson,4.8,1.8,1.0,0.6,0.0,0.406,0.518,0.527,4.8,1.2,0.9,0,0.2,0.52,0.6,0.637
4228,78325,Corny Thompson,2.8,0.8,2.7,0.3,0.2,0.314,0.314,0.388,0,0,0,0,0,0,0,0
4229,78326,David Thompson,22.1,3.2,3.8,0.9,0.8,0.504,0.505,0.566,22.9,3.7,4.3,0.9,1.0,0.462,0.463,0.508
4230,101159,Dijon Thompson,2.8,0.2,1.2,0.2,0.1,0.425,0.475,0.517,0,0,0,0,0,0,0,0
4231,78327,George Thompson,10.7,3.1,2.5,0.9,0.1,0.443,0.443,0.497,0,0,0,0,0,0,0,0
4232,203138,Hollis Thompson,7.4,1.1,3.1,0.6,0.2,0.411,0.51,0.528,0,0,0,0,0,0,0,0
4233,201574,Jason Thompson,8.4,1.0,6.3,0.5,0.7,0.496,0.497,0.531,0.8,0.1,1.1,0,0.1,0.444,0.444,0.388
4234,78328,John Thompson,3.5,0.3,3.5,0.0,0.0,0.41,0.41,0.455,2.2,0.2,2.7,0,0,0.214,0.214,0.381
4235,78329,Kevin Thompson,0.9,0.2,0.9,0.0,0.1,0.429,0.429,0.437,0,0,0,0,0,0,0,0
4236,202691,Klay Thompson,19.8,2.3,3.5,0.9,0.5,0.455,0.55,0.574,19.2,2.2,4.0,0.9,0.5,0.436,0.532,0.555
4237,78,LaSalle Thompson,8.2,1.1,6.8,0.8,1.0,0.491,0.491,0.536,6.4,1.0,5.3,0.6,0.9,0.436,0.436,0.487
4238,78331,Mychal Thompson,13.5,2.2,7.2,0.7,1.1,0.5,0.5,0.534,10.9,1.2,6.0,0.5,1.0,0.501,0.501,0.536
4239,202814,Mychel Thompson,3.6,1.4,1.0,0.4,0.2,0.292,0.375,0,0,0,0,0,0,0,0,0
4240,78332,Paul Thompson,9.0,1.5,3.4,1.0,0.5,0.427,0.433,0.472,4.3,0.7,1.7,1.3,0.3,0.417,0.417,0.458
4241,78333,Stephen Thompson,1.6,0.4,1.0,0.3,0.2,0.378,0.378,0.383,0,0,0,0,0,0,0,0
4242,202684,Tristan Thompson,8.8,1.0,8.1,0.5,0.7,0.519,0.52,0.545,7.1,0.7,7.8,0.3,0.7,0.562,0.562,0.59
4243,1630550,JT Thor,3.2,0.5,1.9,0.3,0.3,0.406,0.485,0.51,0,0,0,0,0,0,0,0
4244,78335,Rod Thorn,10.7,2.5,3.1,0.0,0.0,0.431,0.431,0.483,6.8,1.1,2.4,0,0,0.388,0.388,0.475
4245,201154,Al Thornton,11.0,1.1,3.9,0.6,0.5,0.458,0.469,0.515,0,0,0,0,0,0,0,0
4246,738,Bob Thornton,3.0,0.3,2.5,0.3,0.1,0.453,0.454,0.488,1.6,0.3,1.5,0.1,0.1,0.391,0.391,0.446
4247,201977,Marcus Thornton,11.3,1.4,2.8,0.8,0.1,0.42,0.494,0.527,5.9,0.1,1.9,0.2,0.1,0.389,0.435,0.476
4248,1628414,Sindarius Thornwell,2.4,0.7,1.2,0.5,0.2,0.397,0.452,0.494,1.2,0,1.0,0.2,0,0.333,0.417,0
4249,901,Otis Thorpe,13.8,2.2,8.2,0.7,0.4,0.543,0.543,0.581,10.1,1.6,7.0,0.4,0.2,0.569,0.57,0.593
4250,9,Sedale Threatt,9.5,3.7,1.7,1.2,0.1,0.484,0.495,0.529,8.7,3.6,1.6,1.0,0.1,0.452,0.471,0.506
4251,600001,Nate Thurmond,14.2,2.6,14.3,0.4,1.9,0.421,0.421,0.47,11.9,2.8,13.6,0.4,1.9,0.416,0.416,0.456
4252,78340,Mel Thurston,5.6,0.3,0.0,0.0,0.0,0.283,0.283,0.311,0,0,0,0,0,0,0,0
4253,1629680,Matisse Thybulle,4.5,1.0,2.0,1.4,0.7,0.444,0.54,0.551,3.9,0.4,1.3,1.0,0.8,0.47,0.566,0.561
4254,78341,Howard Tidrick,9.0,1.7,0.0,0.0,0.0,0.315,0.315,0.391,4.3,0.3,0,0,0,0.263,0.263,0.307
4255,78342,Dan Tieman,1.2,0.9,0.8,0.0,0.0,0.263,0.263,0.277,0,0,0,0,0,0,0,0
4256,1629681,Killian Tillie,3.2,0.6,1.6,0.5,0.4,0.337,0.438,0.455,0,0,0,0,0,0,0,0
4257,78343,Darren Tillis,3.4,0.3,2.5,0.2,0.7,0.422,0.422,0.444,0,0,0,0,0,0,0,0
4258,1630214,Xavier Tillman,6.2,1.3,4.2,0.9,0.4,0.552,0.574,0.585,5.2,1.4,4.5,0.6,0.3,0.573,0.587,0.589
4259,78344,Jack Tingle,2.3,0.2,0.0,0.0,0.0,0.259,0.259,0.289,0,0,0,0,0,0,0,0
4260,2224,Jamaal Tinsley,8.5,6.1,2.9,1.4,0.3,0.393,0.437,0.471,7.1,5.1,2.6,1.2,0.1,0.398,0.445,0.471
4261,47,Wayman Tisdale,15.5,1.3,6.2,0.6,0.6,0.506,0.506,0.546,7.1,1.0,2.6,0.1,0.2,0.456,0.456,0.478
4262,1627861,Mike Tobey,1.0,0.5,1.5,0.0,0.0,0.25,0.25,0,0,0,0,0,0,0,0,0
4263,1630225,Isaiah Todd,1.6,0.4,1.3,0.3,0.1,0.222,0.278,0.299,0,0,0,0,0,0,0,0
