Rookie of the Year,,,,,,,,,,
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG,,
1975,Jamaal Wilkes,,Golden State Warriors,No stats available.,,,,,78532,1
1974,Ernie Digregorio,G,Buffalo Braves,No stats available.,,,,,76568,1
1973,Bob McAdoo,,Buffalo Braves,No stats available.,,,,,77498,1
1972,Sidney Wicks,,Portland Trail Blazers,No stats available.,,,,,78520,1
1971,David Cowens,,Boston Celtics,No stats available.,,,,,76462,1
,Geoff Petrie,,Portland Trail Blazers,No stats available.,,,,,77844,1
1970,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.,,,,,76003,1
1969,Wes Unseld,,Baltimore Bullets,No stats available.,,,,,78392,1
1968,Earl Monroe,F,Baltimore Bullets,No stats available.,,,,,600006,1
1967,Dave Bing,,Detroit Pistons,No stats available.,,,,,76166,1
1966,Rick Barry,,San Francisco Warriors,No stats available.,,,,,600013,1
1965,Willis Reed,,New York Knicks,No stats available.,,,,,77929,1
1964,Jerry Lucas,C,Cincinnati Royals,No stats available.,,,,,77418,1
1963,Terry Dischinger,,Chicago Zephyrs,No stats available.,,,,,76577,1
1962,Walt Bellamy,C,Chicago Packers,No stats available.,,,,,76144,1
1961,Oscar Robertson,,Cincinnati Royals,No stats available.,,,,,600015,1
1960,Wilt Chamberlain,,Philadelphia Warriors,No stats available.,,,,,76375,1
1959,Elgin Baylor,,Minneapolis Lakers,No stats available.,,,,,76127,1
1958,Woody Sauldsberry,FC,Philadelphia Warriors,No stats available.,,,,,78064,1
1957,Tommy Heinsohn,,Boston Celtics,No stats available.,,,,,76988,1
1956,Maurice Stokes,FC,Rochester Royals,No stats available.,,,,,600016,1
1955,Bob Pettit,,Milwaukee Hawks,No stats available.,,,,,77847,1
1954,Raymond Felix,,Baltimore Bullets,No stats available.,,,,,76704,1
1953,William Melchionni,,Fort Wayne Pistons,No stats available.,,,,,77576,1
