All-Rookie 2nd Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2001,Courtney Alexander,SG,Washington Wizards,.417,9.5,2.2,1.0,0.1
,Marcus Fizer,F,Chicago Bulls,.430,9.5,4.3,1.1,0.3
,Desmond Mason,SF,Seattle SuperSonics,.431,5.9,3.2,0.8,0.3
,Chris Mihm,C,Cleveland Cavaliers,.442,7.6,4.7,0.3,0.9
,Hedo Turkoglu,SF,Sacramento Kings,.412,5.3,2.8,0.9,0.3
2000,Metta World Peace,SF,Chicago Bulls,.407,12.0,4.3,2.8,0.5
,Chucky Atkins,PG,Orlando Magic,.424,9.5,1.5,3.7,0.0
,Shawn Marion,SG,Phoenix Suns,.471,10.2,6.5,1.4,1.0
,James Posey,SF,Denver Nuggets,.429,8.2,3.9,1.8,0.4
,Jason Terry,G,Atlanta Hawks,.415,8.1,2.0,4.3,0.1
1999,Michael Dickerson,G,Houston Rockets,.465,10.9,1.7,1.9,0.2
,Michael Doleac,C,Orlando Magic,.468,6.2,3.0,0.4,0.3
,Antawn Jamison,PF,Golden State Warriors,.452,9.6,6.4,0.7,0.3
,Cuttino Mobley,SG,Houston Rockets,.425,9.9,2.3,2.5,0.5
,Michael Olowokandi,C,Los Angeles Clippers,.431,8.9,7.9,0.6,1.2
1998,Derek Anderson,SG,Cleveland Cavaliers,.408,11.7,2.8,3.4,0.2
,Cedric Henderson,F,Cleveland Cavaliers,.480,10.1,4.0,2.0,0.5
,Bobby Jackson,PG,Denver Nuggets,.392,11.6,4.4,4.7,0.2
,Maurice Taylor,PF,Los Angeles Clippers,.476,11.5,4.2,0.7,0.6
,Tim Thomas,PF,Philadelphia 76ers,.447,11.0,3.7,1.2,0.2
1997,Ray Allen,SG,Milwaukee Bucks,.430,13.4,4.0,2.6,0.1
,Kobe Bryant,SF,Los Angeles Lakers,.417,7.6,1.9,1.3,0.3
,Kerry Kittles,SG,New Jersey Nets,.426,16.4,3.9,3.0,0.4
,Travis Knight,C,Los Angeles Lakers,.509,4.8,4.5,0.5,0.8
,Matt Maloney,G,Houston Rockets,.441,9.4,2.0,3.7,0.0
1996,Brent Barry,SG,Los Angeles Clippers,.474,10.1,2.1,2.9,0.3
,Tyus Edney,G,Sacramento Kings,.412,10.8,2.5,6.1,0.0
,Kevin Garnett,PF,Minnesota Timberwolves,.491,10.4,6.3,1.8,1.6
