INDEX,ID,PLAYER_NAME,REG_OFF_REB,REG_DEF_REB,PLY_OFF_REB,PLY_DEF_REB
286,76138,William Bedford,0.8,1.6,0.6,1.2
287,76139,Hank Beenders,0,0,0,0
288,76140,Ron Behagen,2.3,4.7,0.6,3.3
289,76141,Elmer Behnke,0,0,0,0
290,201158,Marco Belinelli,0.2,1.8,0.1,2.0
291,2294,Charlie Bell,0.5,1.7,0.3,0.1
292,76142,Dennis Bell,0.8,1.1,0.0,1.3
293,1628395,Jordan Bell,1.0,2.1,0.7,1.4
294,1952,Raja Bell,0.6,2.2,0.6,2.0
295,2559,Troy Bell,0.5,0.2,0,0
296,76143,William Bell,0,0,0,0
297,76144,Walt Bellamy,3.4,6.2,0,0
298,1627761,DeAndre' Bembry,0.6,2.6,0,0
299,76145,Irv Bemoras,0,0,0,0
300,76146,Leon Benbow,0.7,1.2,0.5,0.0
301,1627733,Dragan Bender,0.6,3.2,0,0
302,1886,Jonathan Bender,0.6,1.6,0.4,0.9
303,203968,Jerrelle Benimon,0.5,1.0,0,0
304,104,Benoit Benjamin,1.8,5.7,1.2,4.3
305,1736,Corey Benjamin,0.5,1.1,0,0
306,203461,Anthony Bennett,0.9,2.3,0,0
307,1120,Elmer Bennett,0.0,0.4,0,0
308,712,Mario Bennett,1.2,1.4,0.7,0.8
309,76151,Mel Bennett,1.5,1.8,0,0
310,76148,Tony Bennett,0.2,0.8,0.1,1.0
311,76152,Winston Bennett,1.3,1.7,2.8,1.4
312,128,David Benoit,1.2,2.9,1.1,2.6
313,202728,Keith Benson,0.7,0.3,0,0
314,76154,Kent Benson,1.8,3.9,0.9,2.3
315,1627791,Ben Bentil,0.0,0.7,0,0
316,76155,Gene Berce,0,0,0,0
317,76156,Gary Bergen,0,0,0,0
318,76157,Ricky Berry,0.9,2.2,0,0
319,76158,Walter Berry,1.9,2.8,2.3,2.0
320,1629541,Dairis Bertans,0.2,0.6,0,0
321,202722,Davis Bertans,0.3,2.2,0.2,1.5
322,76159,Del Beshore,0.2,0.7,0,0
323,696,Travis Best,0.3,1.4,0.5,1.5
324,201976,Patrick Beverley,1.1,3.1,1.2,3.1
325,1630180,Saddiq Bey,1.1,3.8,1.2,2.8
326,1630189,Tyler Bey,0.4,0.6,0,0
327,204021,Sim Bhullar,0.0,0.3,0,0
328,76160,Al Bianchi,0,0,0,0
329,76161,Hank Biasatti,0,0,0,0
330,76162,Henry Bibby,0.7,1.7,1.0,1.7
331,1710,Mike Bibby,0.5,2.6,0.6,2.5
332,76163,Ed Biedenbach,0,0,0,0
333,2740,Andris Biedrins,2.3,4.7,1.5,3.9
334,76164,Don Bielke,0,0,0,0
335,76165,Bob Bigelow,0.4,0.8,0,0
336,1497,Chauncey Billups,0.5,2.4,0.5,2.9
337,76166,Dave Bing,1.1,1.9,0.7,1.7
338,76167,Joe Binion,0.7,0.9,0,0
339,203920,Khem Birch,1.9,2.5,1.4,2.7
340,1628444,Jabari Bird,0.5,1.0,0,0
341,76168,Jerry Bird,0,0,0,0
342,1449,Larry Bird,2.0,8.0,2.2,8.1
343,76170,Otis Birdsong,1.3,1.7,1.1,1.8
344,76171,Gale Bishop,0,0,0,0
345,1629048,Goga Bitadze,1.2,1.8,0,0
346,202687,Bismack Biyombo,1.9,4.0,1.9,4.2
347,202357,Nemanja Bjelica,1.1,3.5,0.5,1.8
348,76172,Uwe Blab,0.5,1.2,0.3,0.7
349,76173,Charlie Black,0,0,0,0
350,76174,Norman Black,0.0,0.7,0,0
351,204028,Tarik Black,1.8,2.9,0.3,0.6
352,76175,Tom Black,0,0,0,0
353,76176,Rolando Blackman,1.1,2.3,1.1,1.8
354,76180,Alex Blackwell,0.4,0.5,0,0
355,76177,Cory Blackwell,0.7,0.9,0,0
356,1806,James Blackwell,0.2,0.7,0,0
357,76179,Nate Blackwell,0.2,0.4,0,0
358,201971,DeJuan Blair,1.9,3.2,1.3,1.9
359,2581,Steve Blake,0.3,1.8,0.3,1.7
360,202392,Marqus Blakely,0,0,0,0
361,1628469,Antonio Blakeney,0.1,1.7,0,0
362,200807,Will Blalock,0.4,0.6,0,0
363,76182,George Blaney,0,0,0,0
364,76183,Lance Blanks,0.2,0.6,0.0,1.0
365,76184,Ricky Blanton,1.0,0.5,0,0
366,101154,Andray Blatche,1.8,3.5,1.7,2.8
367,302,Mookie Blaylock,1.1,3.0,1.2,3.7
368,202339,Eric Bledsoe,0.8,3.1,0.9,2.5
369,1629833,Keljin Blevins,0.4,0.8,0.0,0.0
370,76186,Leon Blevins,0,0,0,0
371,76187,John Block,1.4,3.1,0.5,1.0
372,76188,Mike Bloom,0,0,0,0
373,1628417,Jaron Blossomgame,1.0,2.7,0,0
374,916,Corie Blount,1.7,2.5,1.6,2.2
375,1548,Mark Blount,1.5,3.1,1.3,2.6
376,203505,Vander Blue,0.2,1.1,0,0
377,1629129,Trevon Bluiett,0,0,0,0
378,76189,Ray Blume,0.3,0.6,0,0
379,76190,Nelson Bobb,0,0,0,0
380,2800,Tony Bobbitt,0.0,1.5,0,0
381,76191,Arlen Bockhorn,0,0,0,0
382,1631205,Buddy Boeheim,0.2,0.4,0,0
383,76192,Tom Boerwinkle,1.8,4.0,3.2,6.6
384,2586,Keith Bogans,0.6,2.1,0.3,1.7
385,203992,Bogdan Bogdanovic,0.5,2.9,0.6,3.4
386,202711,Bojan Bogdanovic,0.5,3.1,0.6,3.7
387,177,Muggsy Bogues,0.6,2.0,0.7,2.0
388,101106,Andrew Bogut,2.5,6.2,2.1,4.6
389,1564,Etdrick Bohannon,0.7,1.0,0,0
390,1629626,Bol Bol,0.6,3.2,0.4,0.4
391,76195,Manute Bol,1.0,3.3,1.3,2.5
392,1628413,Jonah Bolden,1.0,2.4,0.4,1.0
393,1629716,Marques Bolden,0.4,0.7,0,0
394,76196,Bill Bolger,0,0,0,0
395,1630195,Leandro Bolmaro,0.4,0.6,0,0
396,1627762,Joel Bolomboy,0.6,0.9,0.0,1.0
397,76197,Doug Bolstorff,0,0,0,0
398,76203,George H. Bon Salle,0,0,0,0
399,76198,Phil Bond,0.1,0.4,0,0
400,1603,Walter Bond,0.5,1.4,0.0,0.3
401,1629648,Jordan Bone,0.2,1.0,0,0
402,1121,Dexter Boney,0.4,0.4,0,0
403,1629067,Isaac Bonga,0.7,1.5,0.0,0.2
404,76201,Ron Bonham,0,0,0,0
405,41,Anthony Bonner,2.2,3.2,0.9,0.7
406,2588,Matt Bonner,0.8,2.2,0.4,1.3
407,1626164,Devin Booker,0.6,3.4,0.9,4.4
408,511,Melvin Booker,0.3,0.9,0,0
409,202344,Trevor Booker,1.9,3.6,1.3,2.3
410,200767,Josh Boone,1.9,3.0,0.6,1.0
411,76204,Ron Boone,1.0,1.8,0.9,1.0
412,1916,Calvin Booth,0.9,1.9,1.6,1.3
413,1522,Keith Booth,0.6,1.6,0,0
414,76206,Bob Boozer,0,0,0,0
415,2430,Carlos Boozer,2.4,7.1,2.8,8.3
416,2414,Curtis Borchardt,1.2,2.2,0,0
417,76207,Jake Bornheimer,0,0,0,0
418,1953,Lazaro Borrell,0.8,1.5,1.5,4.0
419,76209,Costic Borsavage,0,0,0,0
420,76210,Vince Boryla,0,0,0,0
421,2547,Chris Bosh,2.2,6.3,1.9,5.5
422,76211,Jim Bostic,2.0,2.0,0,0
423,76212,Lawrence Boston,1.5,1.5,0,0
424,1630527,Brandon Boston Jr.,0.3,1.6,0.0,0.0
425,76213,Tom Boswell,1.8,2.8,1.3,1.4
426,1628449,Chris Boucher,1.9,3.5,1.0,2.2
427,1630547,James Bouknight,0.5,1.4,0,0
428,2257,Ruben Boumtje-Boumtje,0.5,0.8,0,0
429,1631123,Jamaree Bouyea,0.2,1.0,0,0
430,76214,Don Boven,0,0,0,0
431,1898,Cal Bowdler,0.6,1.3,0,0
432,1477,Bruce Bowen,0.5,2.2,0.4,2.3
433,1763,Ryan Bowen,1.0,1.1,0.5,0.9
434,1628968,Brian Bowen II,0.1,0.8,0,0
435,194,Anthony Bowie,0.6,1.6,0.2,0.6
436,76217,Sam Bowie,2.3,5.2,1.7,3.8
437,1085,Ira Bowman,0.1,0.2,0.0,0.0
438,1629065,Ky Bowman,0.5,2.2,0,0
439,76219,Nate Bowman,0,0,0,0
440,671,Donnie Boyce,0.4,0.4,0.0,0.0
441,76221,Dennis Boyd,0.0,0.4,0,0
442,76222,Fred Boyd,0.2,1.1,0,0
443,76223,Ken Boyd,0.5,0.3,0,0
444,1863,Earl Boykins,0.4,0.9,0.7,0.9
445,76224,Harry Boykoff,0,0,0,0
446,76225,Winford Boynes,0.8,1.3,0,0
447,200841,Cedric Bozeman,0.1,0.9,0,0
448,76226,Steve Bracey,0.3,1.3,0.0,0.3
449,202342,Craig Brackins,0.4,0.7,0,0
450,76227,Gary Bradds,0,0,0,0
451,76228,Alex Bradley,0.8,0.9,0,0
452,76229,Alonzo Bradley,0.4,1.1,0.2,0.4
453,202340,Avery Bradley,0.6,2.2,0.7,2.4
454,76233,Bill Bradley,0.6,2.1,0.8,1.7
455,76230,Charles Bradley,0.4,0.7,0.1,0.4
456,76231,Dudley Bradley,0.5,1.3,0.2,0.3
457,76232,Joe Bradley,0,0,0,0
458,2214,Michael Bradley,1.3,2.1,0.0,1.0
459,762,Shawn Bradley,2.1,4.2,1.2,2.2
460,1628396,Tony Bradley,1.5,2.5,1.2,1.9
461,1361,Mark Bradtke,0.7,1.2,0,0
462,66,Marques Bragg,0.7,0.8,0,0
463,1765,Torraye Braggs,1.1,1.2,0,0
464,1920,A.J. Bramlett,1.5,1.3,0,0
465,76237,Adrian Branch,0.9,1.1,0.3,0.7
466,1882,Elton Brand,3.1,5.4,2.3,4.0
467,210,Terrell Brandon,0.6,2.4,0.5,2.7
468,1631103,Malaki Branham,0.4,2.3,0,0
469,76238,Bob Brannum,0,0,0,0
470,76239,Brad Branson,1.2,1.7,0,0
471,76240,Jesse Branson,0,0,0,0
472,1629714,Jarrell Brantley,0.3,1.0,0.8,0.5
473,76241,Jim Brasco,0,0,0,0
474,76242,Mike Bratz,0.5,1.2,0.5,1.1
475,76243,Carl Braun,0,0,0,0
476,1631128,Christian Braun,0.6,1.8,0.6,1.4
477,1629649,Ignas Brazdeikis,0.6,1.3,0,0
